no;kata;replace
1;aku;saya
2;loe;kamu
3;jahatt;jahat
4;aamiin;amin
5;abah;ayah
6;abis;habis
7;abs;asal bapak senang
8;ad;ada
9;adem;dingin
10;adi;adik
11;adl;adalah
12;adlh;adalah
13;agreement;persetujuan
14;ah;kecewa
15;ahahaha;tertawa
16;aja;jangan
17;akyu;saya
18;also;juga
19;alutisista;alutsista
20;alutista;alutsista
21;ama;dan
22;amiinn;amin
23;ampe;sampai
24;anceman;ancaman
25;and;dan
26;anda;kamu
27;andal;ahli
28;anjay;gilee
29;apk;apik
30;aq;saya
31;asbun;asal bunyi
32;babeh;bapak
33;bacot;banyak omong
34;bapa;bapak
35;baper;bawa perasaan
36;bareng;bersama
37;barengjokowi;bersama jokowi
38;belio;beliau
39;bellum;belum
40;bener;benar
41;benning;cantik
42;beranta;berantas
43;beres;selesai
44;bersit;bersih
45;beud;banget
46;bgs;bagus
47;bgt;banget
48;bhw;bahwa
49;biassaa;biasa
50;bikin;membuat
51;bingits;banget
52;bkn;bukan
53;bla;bila
54;blio;beliau
55;blm;belum
56;blok;belum
57;bnyak;banyak
58;bobo;tidur
59;bobot;timbangan
60;bobotohngahiji;bobotoh
61;bodo;bodoh
62;bpk;bapak
63;bpn;badan pemenangan nasional
64;brangkat;berangkat
65;bravo;bagus
66;bravoo;bagus
67;bray;bro
68;brbnah;berbenah
69;break;istirahat
70;brharap;berharap
71;broh;bro
72;brsama;bersama
73;brtahan;bertahan
74;bs;bisa
75;buser;buzzer
76;butzybqt;butuh banget
77;byk;banyak
78;capa;siapa
79;capai;capai
80;capres;calon presiden
81;capresku;calon presidenku
82;capresnya;calon presidenya
83;carakter;karakter
84;cawapres;calon wakil presiden
85;cebi;cebong
86;cebongs;cebong
87;cepet;cepat
88;coblooosss;coblos
89;core;inti
90;crying;menangis
91;culi;culik
92;dah;sudah
93;damage;kerusakan
94;dapet;dapat
95;ddiplomasihy;diplomasi
96;defenseless;tidak berdaya
97;dennger;denger
98;dg;dengan
99;dgn;dengan
100;diboongin;dibohongin
101;dibrikan;diberikan
102;didiemin;didiamkan
103;dihrpkn;diharapkan
104;dil;dilan
105;dng;dengan
106;dngn;dengan
107;dooong;dong
108;dpt;dapat
109;dr;dari
110;drpd;daripada
111;duuuhhh;duh
112;dy;dia
113;ehlgdl;eh lagi di
114;elegant;elegan
115;elo;kamu
116;emak;ibu
117;emang;memang
118;emis;emas
119;ente;kamu
120;ers;era
121;erti;ngerti
122;euy;oy
123;for;untuk
124;force;tekanan
125;fpi;front pembela islam
126;framing;jebakan
127;fun;senang
128;ga;tidak
129;gabisa;tidak bisa
130;gaees;gaes
131;gaeess;gaes
132;gak;tidak
133;gakda;tidak ada
134;gamau;tidak mau
135;gandos;sekali
136;gapapa;tidak mengapa
137;gara;karena
138;garus;garis
139;gate;gerbang
140;gebu;gebuk
141;gegara;gara-gara
142;gegas;bergegas
143;gera;gerah
144;gimana;bagaimana
145;gin;begini
146;gitulooo;begitu lo
147;gk;tidak
148;gkgy;tidak
149;gpp;tidak apa apa
150;gt;begitu
151;gtu;begitu
152;gua;saya
153;gue;saya
154;guna;untuk
155;gw;saya
156;hadeuh;aduh
157;hahaha;hahaha
158;hahahaha;hahaha
159;hahhahhahaha;hahaha
160;haissshhh;marah
161;hancurrr;hancur
162;harap;berharap
163;haters;pembenci
164;hay;hei
165;he;dia
166;highlight;sorotan
167;hmmm;hm
168;hny;hanya
169;hoaks;bohong
170;hoax;bohong
171;hrs;harus
172;huehehehe;hehe
173;ia;dia
174;import;impor
175;in;masuk
176;injubasi;inkubasi
177;innailaihiraaji;innalillaahi
178;inshaa;insaallah
179;insya;insyallah
180;insyaallah;insyallah
181;insyaalloh;insyallah
182;is;adalah
183;issue;isu
184;it;itu
185;ite;itu
186;its;ini
187;jaaauh;jauh
188;jae;jokowi
189;jaenudin;jokowi
190;janj;janji
191;jd;jadi
192;jend;jenderal
193;jendral;jenderal
194;jg;juga
195;jgn;jangan
196;jgnkan;jangankan
197;jk;jika
198;jkw;jokowi
199;jng;jangan
200;job;pekerjaan
201;jok;jokowi
202;jokowid;jokowi
203;jokuwi;jokowi
204;jum;jumat
205;jutkan;lanjutkan
206;kaleee;kali
207;kalik;kali
208;kalo;kalau
209;karna;karena
210;kau;kamu
211;kcptan;kecepatan
212;kebranian;keberanian
213;kedpn;kedepan
214;kelen;kalian
215;keok;kalah
216;kereeen;keren
217;kerenn;keren
218;keringet;keringat
219;kesi;kasihan
220;keterrtinggalan;ketertinggalan
221;kexurangan;kekurangan
222;kh;kah
223;kibul;bohong
224;kl;kalau
225;klau;kalau
226;klean;kalian
227;klo;kalau
228;kluar;keluar
229;klw;kalau
230;km;kamu
231;kmi;kami
232;knapa;kenapa
233;knowledge;pengetahuan
234;knp;kenapa
235;knytaan;kenyataan
236;kowe;kamu
237;kpd;kepada
238;kpda;kepada
239;krn;karena
240;kyknya;kayaknya
241;lbh;lebih
242;lbih;lebih
243;lg;lagi
244;lhooo;lho
245;liat;lihat
246;lo;lho
247;loh;lho
248;lol;tertawa
249;lu;kamu
250;lww;kamu
251;maksude;maksudnya
252;mantebb;mantap
253;manteman;teman teman
254;mantul;mantap
255;mantulll;mantap
256;mara;marah
257;mariii;mari
258;masalh;masalah
259;masyrakat;masyarakat
260;maxsimal;maksimal
261;mbacot;omong doang
262;mbakyu;mbak
263;mberi;memberi
264;mberikan;memberikan
265;mebgalahka;mengalahkan
266;membrikan;memberikan
267;mengatakn;mengatakan
268;mjd;menjadi
269;mlm;malam
270;mmbangun;membangun
271;mmberikan;memberikan
272;mmg;memang
273;mnyambut;menyambut
274;mo;mau
275;moga;semoga
276;mosok;masa
277;mpu;mampu
278;mrk;mereka
279;msh;masih
280;msyrakat;masyarakat
281;mulaaai;mulai
282;naaah;nah
283;nahhh;nah
284;napa;kenapa
285;napah;kenapa
286;nasio;nasional
287;neh;nih
288;nelen;menelan
289;neyh;nih
290;ngeriii;ngeri
291;nggk;tidak
292;ngk;tidak
293;ngmg;ngomong
294;ny;nya
295;oaling;paling
296;oceh;oce
297;omdo;omong doang
298;org;orang
299;orng;orang
300;out;keluar
301;oyy;oy
302;pa;pak
303;paak;pak
304;pakdee;pakde
305;pd;pada
306;pelyanan;pelayanan
307;pembanguanan;pembangunan
308;performent;performa
309;perthanan;pertahanan
310;phm;paham
311;pmerintahan;pemerintahan
312;pmrintahn;pemerintahan
313;poko;pokok
314;prab;prabowo
315;prabow;prabowo
316;prb;prabowo
317;pres;presiden
318;press;presiden
319;pretasi;prestasi
320;ps;prabowo sandi
321;qt;kita
322;rakyatm;rakyat
323;rakyay;rakyat
324;rakyt;rakyat
325;rejim;rezim
326;retuitya;retwet
327;sbg;sebagai
328;sbgai;sebagai
329;scr;secara
330;sdh;sudah
331;sdng;sedang
332;seba;sebab
333;selaaww;santai
334;selow;santai
335;semntara;sementara
336;sgt;sangat
337;sich;sih
338;sj;saja
339;skali;sekali
340;skarang;sekarang
341;skrg;sekarang
342;sll;selalu
343;sm;sama
344;smoga;semoga
345;smtr;sementara
346;sprti;seperti
347;starup;startup
348;statemen;statement
349;stelan;setelan
350;stuju;setuju
351;sy;saya
352;sya;saya
353;syaa;saya
354;tcakepp;cakep
355;td;tadi
356;tdk;tidak
357;tehnologi;teknologi
358;telaaak;telak
359;tgl;tanggal
360;th;tahu
361;thd;terhadap
362;thn;tahun
363;tnt;tentu
364;tnya;tanya
365;tp;tapi
366;trnyta;ternyata
367;trs;terus
368;trus;terus
369;ttg;tentang
370;tuch;tuh
371;tuuh;tuh
372;ud;udah
373;udh;udah
374;uiii;hai
375;ust;ustad
376;utk;untuk
377;uu;hehe
378;uunuy;hehe
379;uwuwuwuwu;hehe
380;vs;lawan
381;wadawww;wow
382;woooiii;woi
383;woyy;woi
384;wrga;warga
385;wuihhh;wow
386;wuizz;wow
387;yaa;ya
388;yah;ya
389;yakk;ya
390;ybs;yang bersangkutan
391;yeaahhh;ya
392;yen;ya
393;yesss;ya
394;yg;yang
395;yoiii;ya
396;yth;yang terhormat
397;yuks;yuk
398;yuuk;yuk
